"nrw_name","birdnet_scientific"
"Acanthis cabaret","Acanthis cabaret"
"Acanthis flammea","Acanthis flammea"
"Acanthis hornemanni","Acanthis hornemanni"
"Accipiter gentilis","Accipiter gentilis"
"Accipiter nisus","Accipiter nisus"
"Acrocephalus agricola","Acrocephalus agricola"
"Acrocephalus arundinaceus","Acrocephalus arundinaceus"
"Acrocephalus dumetorum","Acrocephalus dumetorum"
"Acrocephalus paludicola","Acrocephalus paludicola"
"Acrocephalus palustris","Acrocephalus palustris"
"Acrocephalus schoenobaenus","Acrocephalus schoenobaenus"
"Acrocephalus scirpaceus","Acrocephalus scirpaceus"
"Actitis hypoleucos","Actitis hypoleucos"
"Actitis macularius","Actitis macularius"
"Aegithalos caudatus","Aegithalos caudatus"
"Aegolius funereus","Aegolius funereus"
"Aix galericulata","Aix galericulata"
"Alauda arvensis","Alauda arvensis"
"Alcedo atthis","Alcedo atthis"
"Alopochen aegyptiaca","Alopochen aegyptiaca"
"Anas acuta","Anas acuta"
"Anas crecca","Anas crecca"
"Anas platyrhynchos","Anas platyrhynchos"
"Anser albifrons","Anser albifrons"
"Anser anser","Anser anser"
"Anser brachyrhynchus","Anser brachyrhynchus"
"Anser caerulescens","Anser caerulescens"
"Anser erythropus","Anser erythropus"
"Anser fabalis","Anser fabalis"
"Anser indicus","Anser indicus"
"Anser serrirostris","Anser serrirostris"
"Anthus campestris","Anthus campestris"
"Anthus cervinus","Anthus cervinus"
"Anthus petrosus","Anthus petrosus"
"Anthus pratensis","Anthus pratensis"
"Anthus richardi","Anthus richardi"
"Anthus spinoletta","Anthus spinoletta"
"Anthus trivialis","Anthus trivialis"
"Apus apus","Apus apus"
"Apus pallidus","Apus pallidus"
"Aquila chrysaetos","Aquila chrysaetos"
"Aquila heliaca","Aquila heliaca"
"Aquila nipalensis","Aquila nipalensis"
"Ardea alba","Ardea alba"
"Ardea cinerea","Ardea cinerea"
"Ardea purpurea","Ardea purpurea"
"Ardeola ralloides","Ardeola ralloides"
"Arenaria interpres","Arenaria interpres"
"Asio flammeus","Asio flammeus"
"Asio otus","Asio otus"
"Athene noctua","Athene noctua"
"Aythya affinis","Aythya affinis"
"Aythya collaris","Aythya collaris"
"Aythya ferina","Aythya ferina"
